17-Oct-08,110.24,118.59,107,114.3,18255000
20-Oct-08,117.55,123.8,115.65,121.5,16818200
21-Oct-08,120.84,123.62,118.83,121.35,13447100
22-Oct-08,117.19,120.19,111,115.06,15383000
23-Oct-08,113.98,116,101.71,108.58,25428800
24-Oct-08,96,105,96,100.4,24252500
27-Oct-08,96.8,102,91.47,92.88,20434000
28-Oct-08,96.99,97.25,82.22,93.57,49624600
29-Oct-08,93.35,102.71,88.66,97.66,27530400
30-Oct-08,101.16,101.25,88.01,91.11,29496400
31-Oct-08,88.98,95,87.2,92.5,24726500
3-Nov-08,92,95.25,87.31,89.09,19578300
4-Nov-08,90.69,95,87.18,95,21918300
5-Nov-08,92.78,94.71,86.5,87.43,15350400
6-Nov-08,85.91,88.8,79.41,80.72,25535200
7-Nov-08,81.45,81.85,75,77.78,31305500
10-Nov-08,78.77,79.22,68.51,71.21,47529674
11-Nov-08,69.88,75.42,66.68,74.68,47603417
12-Nov-08,71.99,73.64,64.54,66.79,34436556
13-Nov-08,67.79,70.4,61.02,69.99,40002800
14-Nov-08,67.85,70,65.12,66.73,22186261
17-Nov-08,64.79,66.33,61.75,62.49,20307959
18-Nov-08,62.73,65.5,60.56,62.03,25755349
19-Nov-08,61.33,63.45,54.54,55.18,30490814
20-Nov-08,54,57.54,49,52,55617937
21-Nov-08,54.54,54.54,47.41,53.31,39597150
24-Nov-08,56.13,70.1,55.27,67.42,44623330
25-Nov-08,71.41,74.5,66.52,71.78,38668458
26-Nov-08,69.63,78.45,69.4,76.5,25013949
27-Nov-08,76.5,76.5,76.5,76.5,0
28-Nov-08,75.94,81.19,74.24,78.99,11534700
1-Dec-08,75.8,75.8,64.19,65.76,28607889
2-Dec-08,63.65,67,60.22,65,35326998
3-Dec-08,63.07,69.87,62.12,68.95,29041747
4-Dec-08,68.19,70.65,66.04,67.53,23839952
5-Dec-08,66.76,71.2,65.02,70.72,23969912
8-Dec-08,73.87,78.53,73.52,77.15,22760190
9-Dec-08,75.42,77.87,71.56,72.77,17137543
10-Dec-08,73.8,73.9,69.35,71.53,14107096
11-Dec-08,70.35,74,69.09,69.71,15488329
12-Dec-08,65.7,70.55,65.5,67.74,15813137
15-Dec-08,67.12,68.31,65.11,66.46,13831522
16-Dec-08,69.57,78,68.54,76,44131051
17-Dec-08,75.33,81.29,74.14,79.2,24992934
18-Dec-08,79.67,81.19,78.25,80.05,20000037
19-Dec-08,79.37,80.73,77.65,80.73,20385359
22-Dec-08,80,80.13,74.89,77,13178763
23-Dec-08,77.41,78,75.05,75.2,9714665
24-Dec-08,75.54,76.74,75.26,76.44,3166282
25-Dec-08,76.44,76.44,76.44,76.44,0
26-Dec-08,76.83,77.44,75.31,75.97,4680445
29-Dec-08,76.43,77.11,75.03,76.56,6334491
30-Dec-08,77.29,82.06,76.31,82.06,11044035
31-Dec-08,82.24,86.15,81.12,84.39,14899582
1-Jan-09,84.39,84.39,84.39,84.39,0
2-Jan-09,84.02,87.62,82.19,86.76,14139228
5-Jan-09,85.81,90.95,85.46,88.78,16009641
6-Jan-09,90.05,92.2,87.72,88.71,21555887
7-Jan-09,86.91,87.85,83.65,84.5,12589410
8-Jan-09,83.52,86.52,82.68,85.41,13448016
9-Jan-09,85.91,86.87,80.41,83.92,12226114
12-Jan-09,83.36,83.76,76.43,77.67,15778764
13-Jan-09,74.16,78.88,73.71,77.92,25866499
14-Jan-09,75.88,76.88,73.45,75.69,18422528
15-Jan-09,75.03,76.2,69,73.83,25821082
16-Jan-09,75.98,76.5,69.95,73.05,26051647
20-Jan-09,69.6,70.26,59.13,59.2,33135562
21-Jan-09,63.39,70.1,63.25,69.9,38183318
22-Jan-09,67.28,73.69,65.53,71.03,24608185
23-Jan-09,67.87,75.35,67.12,74.91,21924074
26-Jan-09,76.06,78.75,72.77,74.2,18744776
27-Jan-09,75.51,78.65,74.77,78.26,20691123
28-Jan-09,84.28,89.1,83.37,87.7,34388608
29-Jan-09,85.13,86.59,82.12,82.72,21634815
30-Jan-09,83.59,84.78,79.35,80.73,20347665
2-Feb-09,78.78,84,78.57,83.57,18487865
3-Feb-09,84.3,84.5,79.8,82.81,19445931
4-Feb-09,83.7,89.92,83.45,87.97,29780451
5-Feb-09,86.77,94.7,86.26,92.85,33850338
6-Feb-09,94.27,96.58,91.56,96.57,26559786
9-Feb-09,97.02,98.66,94.63,97.89,18745502
10-Feb-09,96.79,97.89,89.7,90.4,29866528
11-Feb-09,91.75,94.94,90.42,94.71,19561384
12-Feb-09,92.65,96.2,91.47,95.58,22915372
13-Feb-09,95,97.98,94.5,96.45,22980565
17-Feb-09,92.26,92.48,84.79,85.71,31085792
18-Feb-09,87.69,87.69,81.07,84.5,32610761
19-Feb-09,86.41,88.87,85.53,86.01,24479315
20-Feb-09,81.95,87.15,79.27,84.59,36148445
23-Feb-09,86.51,87.77,79.79,80.07,22305565
24-Feb-09,81.53,93.09,81.51,92.98,33115900
25-Feb-09,91.55,93.5,87.3,89.92,36253684
26-Feb-09,92.3,94,90.02,92.15,27519668
27-Feb-09,88.63,93.38,87.5,91.08,26046640
2-Mar-09,87.86,90.21,85.56,86.27,24074128
3-Mar-09,88.33,88.84,80.29,82.37,30943519
4-Mar-09,84.9,88,81.5,85.47,28053665
5-Mar-09,82.88,85.7,79.35,81.72,24833125
6-Mar-09,82.33,84.48,73.25,75.65,33492921
9-Mar-09,73.77,77.4,72.78,73.95,23656424
10-Mar-09,77.68,85.45,77.1,85.28,35007177
11-Mar-09,86.89,93.5,85.58,92.39,38005897
12-Mar-09,92.03,97.5,90.18,97.25,30824626
13-Mar-09,97.79,99.84,95.64,98.8,30963595
16-Mar-09,100.33,101.41,93.19,93.9,28250021
17-Mar-09,92.64,99.01,92.55,98.99,23362016
